document,date,location
No-MM_N0819,1896-07-01,N/A
No-MM_N0820,1896-09,N/A
No-MM_N0821,1896-08-04,N/A
No-MM_N0822,1896,N/A
No-MM_N0823,1896-10-16,N/A
No-MM_N0824,1896-11,N/A
No-MM_N0825,1897,N/A
No-MM_N0826,1897-01,N/A
No-MM_N0827,1897-01,N/A
No-MM_N0828,1898-03-19,N/A
No-MM_N0829,1899-04-25,N/A
No-MM_N0830,1899-05-08,N/A
No-MM_N0831,1899-04,N/A
No-MM_N0832,1900-07,N/A
No-MM_N0833,1899-11,N/A
No-MM_N0834,1899-11,N/A
No-MM_N0835,1900-03-29,N/A
No-MM_N0836,1900-06-29,N/A
No-MM_N0837,1900-09,N/A
No-MM_N0838,1901-03-08,N/A
No-MM_N0839,1901-11-23,N/A
No-MM_N0840,1901-11-28,N/A
No-MM_N0841,1901-12%1902-01,N/A
No-MM_N0842,2902-01-20,N/A
No-MM_N0843,1902-02-14,N/A
No-MM_N0844,1902-03,N/A
No-MM_N0845,1902-03-08,N/A
No-MM_N0847,1902-04-29,N/A
No-MM_N0848,1902-05-15,N/A
No-MM_N0849,1893-06,N/A
No-MM_N0850,1902-08-17,N/A
No-MM_N0851,1902-08,N/A
No-MM_N0852,1902-11-14,Lübeck
No-MM_N0853,1902-11-24,Lübeck
No-MM_N0854,1902-11-27,N/A
No-MM_N0855,1902-12-22,Berlin
No-MM_N0856,1902-12-29,N/A
No-MM_N0857,1902-12-06,N/A
No-MM_N0858,1908-02-09,N/A
No-MM_N0859,1903-02-27,Leipzig
No-MM_N0860,1903-03-23,Paris
No-MM_N0861,1903-04-17,Paris
No-MM_N0862,1903-05-05,Lübeck
No-MM_N0863,1905-07-27,N/A
No-MM_N0864,1903-05-06,Lübeck
No-MM_N0865,1903-10-19,N/A
No-MM_N0866,1903-12-22,Berlin
No-MM_N0867,1904-01-02,Lübeck
No-MM_N0868,1904-03-06,N/A
No-MM_N0869,1894-12,N/A
No-MM_N0870,1904-03-18,Weimar
No-MM_N0871,1904-07-13,Åsgårdstrand
No-MM_N0872,1904-07,N/A
No-MM_N0873,1904-08-15,Lübeck
No-MM_N0874,1904-08-17,Travemünde
No-MM_N0875,1904-08-27,N/A
No-MM_N0876,1904-09-03,N/A
No-MM_N0877,1904-09,N/A
No-MM_N0878,1904-09-19,Åsgårdstrand
No-MM_N0879,1905-08,N/A
No-MM_N0880,1904-10-30,Åsgårdstrand
No-MM_N0881,1904-11-21,Åsgårdstrand
No-MM_N0882,1904-11-27,N/A
No-MM_N0883,1904-12-14,Lübeck
No-MM_N0884,1903-10,N/A
No-MM_N0885,1905-03,N/A
No-MM_N0886,1905-03,N/A
No-MM_N0887,1905-09,N/A
No-MM_N0888,1905-09,N/A
No-MM_N0889,1905-07-27,N/A
No-MM_N0890,1905-09-23,N/A
No-MM_N0891,1905-10-19,N/A
No-MM_N0892,1905-10-23,N/A
No-MM_N0893,1905-02-08,Praha
No-MM_N0894,1905-11-06,N/A
No-MM_N0895,1905-11-17,Thüringen
No-MM_N0896,1905-12-26,Bad Elgersburg
No-MM_N0897,1905,N/A
No-MM_N0898,1905-08,N/A
No-MM_N0899,1905-09,N/A
No-MM_N0900,1906-09,N/A
No-MM_N0901,1905-01-18,Lübeck
No-MM_N0902,1905-03,N/A
No-MM_N0903,1906-02-15,N/A
No-MM_N0904,1906-03-08,Weimar
No-MM_N0905,1906-03,N/A
No-MM_N0906,1906-03,N/A
No-MM_N0907,1906-04-26,Berlin
No-MM_N0908,1906-07,N/A
No-MM_N0909,1906-09,N/A
No-MM_N0910,1906-10-04,N/A
No-MM_N0911,1906-10-31,N/A
No-MM_N0912,1906-12-19,N/A
No-MM_N0913,1906-06,N/A
No-MM_N0914,1906-06-11,N/A
No-MM_N0915,1906-06-13,N/A
No-MM_N0916,1906-07-04,N/A
No-MM_N0917,1906-06,N/A
No-MM_N0918,1906-11-15,N/A
No-MM_N0919,1906-05-09,N/A
No-MM_N0920,1907-03-16,N/A
No-MM_N0921,1907-02,N/A
No-MM_N0922,1907-04-07,Stockholm
No-MM_N0923,1907-04-19,N/A
No-MM_N0924,1907-05-29,N/A
No-MM_N0925,1907-06-12,N/A
No-MM_N0926,1907-07,N/A
No-MM_N0927,1907-09-10,N/A
No-MM_N0928,1907-11-17,N/A
No-MM_N0929,1907-09-24,N/A
No-MM_N0930,1907-12-09,N/A
No-MM_N0931,1907-12-24,N/A
No-MM_N0932,1907-12-26,Warnemünde
No-MM_N0933,1908-01-26,N/A
No-MM_N0934,1908-02-23,N/A
No-MM_N0935,1908-02-07,Berlin
No-MM_N0936,1908-03,N/A
No-MM_N0937,1908-05-18,Warnemünde
No-MM_N0938,1908-06-23,Warnemünde
No-MM_N0939,1908-10,N/A
No-MM_N0941,1908-10-27,København
No-MM_N0942,1908-11-13,København
No-MM_N0943,1908-11-22,København
No-MM_N0944,1908-11-28,København
No-MM_N0945,1908-12-05,København
No-MM_N0946,1909-03,N/A
