document,date,location
No-MM_N3180,1912-03-25,N/A
No-MM_N3181,1912-03-18,N/A
No-MM_N3182,1912-03-06,N/A
No-MM_N3183,1912-06-11,N/A
No-MM_N3184,1912-06-29,Hvitsten
No-MM_N3185,1912-07-08,N/A
No-MM_N3186,1912-08-28,N/A
No-MM_N3187,1912-08-26,N/A
No-MM_N3188,1912-11-30,N/A
No-MM_N3189,1904-08-01,Åsgårdstrand
No-MM_N3190,1912-11-10,N/A
No-MM_N3191,1912-02-26,N/A
No-MM_N3192,1904-07-21,Åsgårdstrand
No-MM_N3193,1904-06-07,N/A
No-MM_N3194,1904-05-30,Åsgårdstrand
No-MM_N3195,1904-04-29,N/A
No-MM_N3196,1912-11-11,Hvitsten
No-MM_N3197,1904-07-05,N/A
No-MM_N3198,1904-04-25,N/A
No-MM_N3199,1904-04-04,N/A
No-MM_N3200,1904-03-18,N/A
No-MM_N3201,1912-11-27,N/A
No-MM_N3202,1912-12-12,N/A
No-MM_N3203,1912-07-08,Hvitsten
No-MM_N3204,1904-03-21,N/A
No-MM_N3205,1904-02-19,Paris
No-MM_N3206,1904-02-14,Paris
No-MM_N3207,1904-02-07,N/A
No-MM_N3208,1904-02-03,N/A
No-MM_N3209,1904-01-04,N/A
No-MM_N3210,1904-01-25,Berlin
No-MM_N3211,1903-12-22,N/A
No-MM_N3212,1902-02-02,N/A
No-MM_N3213,1902-01-24,N/A
No-MM_N3214,1912-12,N/A
No-MM_N3215,1913-01-23,N/A
No-MM_N3216,1913-03-15,N/A
No-MM_N3217,1913-03-17,N/A
No-MM_N3218,1913-04-26,N/A
No-MM_N3219,1913-04-28,N/A
No-MM_N3220,1903-02-04,Berlin
No-MM_N3221,1913-02,N/A
No-MM_N3222,N/A,Kragerø
No-MM_N3224,1914-02-03,N/A
No-MM_N3225,1914-01-17,N/A
No-MM_N3226,1914-03-27,N/A
No-MM_N3227,1913-12-27,N/A
No-MM_N3229,1912-12-13,N/A
No-MM_N3231,1913-06,N/A
No-MM_N3232,1912-01-20,Kragerø
No-MM_N3233,1911-10-09,N/A
No-MM_N3235,1913-12-12,Halden
No-MM_N3236,1909-12,N/A
No-MM_N3237,1910-01-15,N/A
No-MM_N3238,1914-06,N/A
No-MM_N3239,1914-06-29,N/A
No-MM_N3240,1914-12,N/A
No-MM_N3241,1915-05,N/A
No-MM_N3242,1916%1917,N/A
No-MM_N3243,1915-02,N/A
No-MM_N3244,1915-04-16,N/A
No-MM_N3245,1919-06-27,N/A
No-MM_N3246,N/A,Åsgårdstrand
No-MM_N3251,N/A,Oslo
No-MM_N3257,1909-03-31,N/A
No-MM_N3258,1909-04-17,N/A
No-MM_N3259,1909-04-14,København
No-MM_N3260,1909-05-19,N/A
No-MM_N3261,1909-05-29,N/A
No-MM_N3262,1909-05,N/A
No-MM_N3263,1909-06-08,N/A
No-MM_N3264,1909-07-13,N/A
No-MM_N3265,1909-07-14,Kragerø
No-MM_N3266,1909-09-14,N/A
No-MM_N3267,1909-11-02,N/A
No-MM_N3268,1909-11-17,N/A
No-MM_N3269,1910-04-03,N/A
No-MM_N3270,1910-06,N/A
No-MM_N3272,1909-05,Kragerø
No-MM_N3273,1915-04,Kragerø
No-MM_N3274,1909-12,N/A
No-MM_N3275,1911-08-29,N/A
No-MM_N3277,N/A,Oslo
No-MM_N3279,1902-02-03,N/A
No-MM_N3280,1902-02-03,N/A
No-MM_N3281,1902-02-03,N/A
No-MM_N3282,1902-02-03,N/A
No-MM_N3283,1902-02-03,N/A
No-MM_N3284,1902-02-03,N/A
No-MM_N3285,1902-02-08,N/A
No-MM_N3286,1902-02-10,N/A
No-MM_N3287,1902-02-10,N/A
No-MM_N3291,N/A,Oslo
No-MM_N3298,N/A,Oslo
No-MM_N3299,N/A,Oslo
No-MM_N3300,N/A,Oslo
No-MM_N3303,N/A,Oslo
No-MM_N3304,N/A,Oslo
No-MM_N3305,N/A,Oslo
No-MM_N3307,N/A,Oslo
No-MM_N3308,1912-02,N/A
No-MM_N3316,1894,N/A
No-MM_N3317,1895-03,N/A
No-MM_N3318,1896-04-09,Paris
No-MM_N3319,1924-01-19,Oslo
No-MM_N3320,N/A,Oslo
No-MM_N3321,N/A,Oslo
No-MM_N3322,1907-04-19,København
No-MM_N3323,1907-12-03,N/A
No-MM_N3324,1906-11-29,N/A
No-MM_N3325,1894-09-15,N/A
No-MM_N3326,1906-10-20,N/A
No-MM_N3327,1907-08-16,N/A
No-MM_N3328,1929-09,N/A
No-MM_N3329,1931-11-23,Oslo
No-MM_N3330,N/A,Oslo
No-MM_N3332,1906-09-01,Bad Kösen
No-MM_N3333,1906-08,Ilmenau
No-MM_N3334,1906-11-17,N/A
No-MM_N3335,1906-10,N/A
No-MM_N3336,1906-12%1907-01,N/A
No-MM_N3337,1906-10-27,N/A
No-MM_N3338,1906-09-11,Bad Kösen
No-MM_N3339,1906-10-04,Bad Kösen
No-MM_N3340,1905-01-29,N/A
No-MM_N3342,1921-10-05,N/A
No-MM_N3343,1932-04-25,Oslo
No-MM_N3344,1908,N/A
No-MM_N3346,1928-02,Oslo
No-MM_N3347,1927-01-02,Oslo
No-MM_N3348,1927-10,N/A
No-MM_N3349,1923-10,N/A
No-MM_N3350,1923-10,N/A
No-MM_N3353,1900-12,N/A
No-MM_N3356,1928-01-26,Oslo
No-MM_N3360,1906-05,N/A
No-MM_N3361,1907-02-26,N/A
No-MM_N3362,1906-08-04,Bad Kösen
No-MM_N3369,N/A,Oslo
No-MM_N3370,1926-08-12,N/A
No-MM_N3371,1925-12,N/A
No-MM_N3375,1904-03,N/A
No-MM_N3376,1932-02,N/A
No-MM_N3377,1932-10-18,Oslo
No-MM_N3378,1932-05-30,N/A
No-MM_N3379,1929-08,N/A
No-MM_N3380,1929-08,N/A
No-MM_N3381,1926-04-08,Oslo
No-MM_N3382,1926-04-16,N/A
No-MM_N3383,1926-04-15,N/A
No-MM_N3384,N/A,Oslo
No-MM_N3385,1926-04-21,Oslo
No-MM_N3386,1926-04-25,Oslo
No-MM_N3387,1926-04-27,Oslo
No-MM_N3388,1926-05-13,Oslo
No-MM_N3389,1926-05-30,N/A
No-MM_N3390,1926-06-10,Wiesbaden
No-MM_N3391,1928-03-29,Oslo
No-MM_N3396,1927-01,N/A
No-MM_N3397,1927-10,N/A
No-MM_N3399,1896-04,N/A
No-MM_N3400,1896%1897,N/A
No-MM_N3402,1923-10-29,Oslo
No-MM_N3410,1910-06,N/A
No-MM_N3411,1910-06,N/A
No-MM_N3413,1897-08-02,N/A
No-MM_N3414,1897,N/A
No-MM_N3416,1898-07,N/A
No-MM_N3418,1913-09-05,Moss
No-MM_N3420,1904-05,N/A
No-MM_N3421,1922-04,N/A
No-MM_N3422,1920-01-15,Oslo
No-MM_N3426,1926-11,N/A
No-MM_N3427,1925-07,N/A
No-MM_N3428,1921-10-05,Oslo
No-MM_N3429,1913-11,N/A
No-MM_N3430,1921-01,N/A
No-MM_N3431,1922-08,N/A
No-MM_N3433,1926-11,N/A
No-MM_N3434,1926-11,N/A
No-MM_N3435,1926-11,N/A
No-MM_N3436,1926-11,N/A
No-MM_N3444,1932-05-30,Oslo
No-MM_N3445,1927-03-12,N/A
No-MM_N3446,1929-03-06,Oslo
No-MM_N3447,1927-04,N/A
No-MM_N3448,1927-04-01,N/A
No-MM_N3449,1927-06,N/A
No-MM_N3450,N/A,Oslo
No-MM_N3451,1917-07,N/A
No-MM_N3453,1926-12-29,Oslo
No-MM_N3454,1909-11-16,Kragerø
No-MM_N3456,1926-11,N/A
No-MM_N3457,1928-01-06,Oslo
No-MM_N3458,1927-06,N/A
No-MM_N3461,1902-02,N/A
No-MM_N3463,N/A,Bad Kösen
No-MM_N3464,1906-12-11,N/A
No-MM_N3465,1927-10,N/A
No-MM_N3466,1927-10,N/A
No-MM_N3467,1912-01-05,N/A
No-MM_N3468,1906-08-03,N/A
No-MM_N3471,1906-05,N/A
No-MM_N3472,1906-11,N/A
No-MM_N3475,1926-10,N/A
No-MM_N3477,1905-11-17,N/A
No-MM_N3478,1925-05,Oslo
No-MM_N3480,1927-01-07,N/A
No-MM_N3481,1927-01,N/A
No-MM_N3482,1927-01,N/A
No-MM_N3483,1927-01-07,N/A
No-MM_N3484,1929-01,N/A
No-MM_N3485,1928-09-17,N/A
No-MM_N3486,1911-08-10,N/A
No-MM_N3489,1893-03,N/A
No-MM_N3490,1892-12,N/A
No-MM_N3491,1923-05-17,N/A
No-MM_N3492,N/A,Vestre Aker
No-MM_N3493,1890-12-22,Le Havre
No-MM_N3495,1906-12%1907-01,Bad Kösen
No-MM_N3496,1925-08,N/A
No-MM_N3497,1902-01-02,N/A
No-MM_N3498,1914-05-19,N/A
No-MM_N3499,1902-05-07,N/A
No-MM_N3500,1929-02,N/A
No-MM_N3501,1911-03-02,N/A
No-MM_N3502,N/A,Oslo
No-MM_N3503,N/A,Oslo
No-MM_N3510,1882-06,N/A
No-MM_N3511,1884-02,N/A
No-MM_N3512,1918-04-30,N/A
No-MM_N3513,1918-11-27,N/A
No-MM_N3514,1909-07-18,Kragerø
No-MM_N3515,1914-03,N/A
No-MM_N3516,N/A,Nice
No-MM_N3527,N/A,Göteborg
No-MM_N3542,N/A,Oslo
No-MM_N3550,N/A,Oslo
No-MM_N3551,N/A,Vestre Aker
No-MM_N3552,N/A,Oslo
No-MM_N3553,N/A,Vestre Aker
No-MM_N3557,N/A,Oslo
No-MM_N3558,N/A,Oslo
No-MM_N3564,N/A,Oslo
No-MM_N3569,N/A,Oslo
No-MM_N3570,N/A,Oslo
No-MM_N3572,N/A,Oslo
No-MM_N3574,N/A,Oslo
No-MM_N3577,N/A,Oslo
No-MM_N3638,N/A,Vestre Aker
No-MM_N3639,N/A,Oslo
No-MM_N3640,N/A,Oslo
No-MM_N3642,N/A,Oslo
No-MM_N3644,1886-10-04,Oslo
No-MM_N3646,N/A,Oslo
No-MM_N3647,1927-01-05,N/A
No-MM_N3648,1930-08,N/A
No-MM_N3649,1893-08,N/A
No-MM_N3650,1912-01-03,N/A
No-MM_N3655,N/A,Oslo
No-MM_N3661,N/A,Oslo
No-MM_N3662,N/A,Oslo
No-MM_N3663,1892-12,N/A
No-MM_N3664,1892-01-02,Nice
No-MM_N3665,1887-09-30,Oslo
No-MM_N3666,1891-02,N/A
No-MM_N3667,1891-02-03,Nice
No-MM_N3668,N/A,Oslo
No-MM_N3669,N/A,Oslo
No-MM_N3671,1908-05,N/A
No-MM_N3672,1929-02,N/A
No-MM_N3677,1918-06-13,N/A
No-MM_N3678,1889-06,N/A
No-MM_N3679,1893-03-16,Berlin
No-MM_N3685,1891-04,N/A
No-MM_N3712,1930-04,N/A
No-MM_N3751,1931-06-07,N/A
No-MM_N3752,1931-06,N/A
No-MM_N3774,1904-09-28,N/A
No-MM_N3786,1922-02,N/A
No-MM_N3798,1929-01-14,N/A
No-MM_N923 ,1922-05,N/A
No-MM_T0271,1928-11-20,N/A
No-MM_T2514,1906-10-23,N/A
No-MM_T2810,1890-01-24,N/A
No-MM_T2899,1892-03,N/A
No-MM_n2702,1930-02,N/A
PN0006,1932-09-09,Oslo
PN0013,1909-03,N/A
PN0014,1916-01-03,N/A
PN0017,1893,N/A
PN0018,1893-12-05,N/A
PN0019,1893-11%1894-02,N/A
PN0020,1893-02-08,N/A
PN0021,1893-05,N/A
PN0022,1898-03,N/A
PN0023,1898-03,N/A
PN0024,1898-03,N/A
PN0025,1905-07-26,N/A
PN0026,1908-12-04,N/A
PN0027,1907-02-11,N/A
PN0028,1910-12-15,N/A
PN0030,1910-01-14,N/A
PN0031,1909-07-14,N/A
PN0032,1930-12-22,N/A
PN0033,1897-07,N/A
PN0035,1907-01-09,N/A
PN0036,1907-01,N/A
PN0040,1932-05-22,N/A
PN0041,1928,N/A
PN0043,1895-07-23,N/A
PN0044,1897-08-22,N/A
PN0045,1896%1897,N/A
PN0046,1897-11,N/A
PN0050,1905-10-26,N/A
PN0051,1905-11-04,N/A
PN0052,1905-11-04,N/A
PN0053,1905-11-09,N/A
PN0054,1905-11-10,N/A
PN0055,1905-11-15,N/A
PN0056,1905-11-27,N/A
PN0057,1905-11-30,N/A
PN0058,1905-12-02,N/A
PN0059,1905-12,N/A
PN0060,1905-12-14,N/A
PN0061,1905-12-18,N/A
PN0062,1906-01,N/A
PN0063,1906-02,N/A
PN0064,1906-02,N/A
PN0065,1906-02,N/A
PN0066,1906-02,N/A
PN0067,1906-02,N/A
PN0068,1906-02,N/A
PN0069,1906-02,N/A
PN0070,1906-02-11,N/A
PN0071,1906,N/A
PN0072,1906-02,N/A
PN0073,1906,N/A
PN0074,1906-05,N/A
PN0075,1906-07,N/A
PN0076,1906-06,N/A
PN0077,1906-08,N/A
PN0079,1906-09-26,N/A
PN0080,1906-09-29,N/A
PN0081,1906,N/A
PN0082,1906-12,N/A
PN0083,1906-12,N/A
PN0085,1907-10-13,N/A
PN0086,1907-09-20,N/A
PN0087,1908-06-12,N/A
PN0088,1910-01-01,N/A
PN0089,1909-05-17,N/A
PN0090,1909-03-18,N/A
PN0091,1908-05,N/A
PN0092,1931-02,N/A
PN0093,1931-01,N/A
PN0094,1931-01,N/A
PN0095,1931-02-18,N/A
PN0096,1931-02-18,N/A
PN0097,1931-02,N/A
PN0099,1931-03-25,N/A
PN0100,1931-04-27,N/A
PN0101,1930-07-01,N/A
PN0102,1931-12-20,N/A
PN0103,1909-07-17,N/A
PN0104,1909-07-29,N/A
PN0105,1909-09-09,N/A
PN0106,1909-10-03,N/A
PN0107,1909-11-28,N/A
PN0108,1910-08-03,N/A
PN0109,1910-08-19,N/A
PN0110,1910-10-22,N/A
PN0111,1911-01-06,N/A
PN0112,1911-02-13,N/A
PN0113,1912-08-03,N/A
PN0114,1912-10-14,N/A
PN0115,1912-11-14,N/A
PN0116,1912-11-15,N/A
PN0117,1912-11-21,N/A
PN0118,1912-11-22,N/A
PN0119,1912-11-26,N/A
PN0120,1913-01-06,N/A
PN0121,1913-04-26,N/A
PN0122,1913-04-15,N/A
PN0123,1913-06-05,N/A
PN0124,1913-02-17,N/A
PN0125,1913-02-21,N/A
PN0126,1914-02-06,N/A
PN0127,1914-02-22,N/A
PN0128,1914-03-07,N/A
PN0129,1914-02-22,N/A
PN0130,1914-05-12,N/A
PN0131,1922-05-27,N/A
PN0132,1932-08-01,N/A
PN0133,1932-08-03,N/A
PN0134,1932-10-16,N/A
PN0135,1903-01-07,N/A
PN0136,1903-02-11,N/A
PN0138,1903-03-16,N/A
PN0139,1903-03-21,N/A
PN0140,1903-03-24,N/A
PN0141,1903-03,N/A
PN0142,1903-04-05,N/A
PN0143,1903-06,N/A
PN0144,1903-07-03,N/A
PN0145,1903-09-25,N/A
PN0146,1904-04-08,N/A
PN0147,1905-06-12,N/A
PN0148,1905-07,N/A
PN0149,1905-07-26,N/A
PN0150,1905-08-04,N/A
PN0151,1905-12-25,N/A
PN0152,1906-04,N/A
PN0153,1906-04,N/A
PN0154,1906-06-15,N/A
PN0155,1906-06-21,N/A
PN0156,1908-07-29,N/A
PN0158,1914-09-08,N/A
PN0159,1920-07-02,N/A
PN0160,1921-06-08,N/A
PN0161,1921-10-08,N/A
PN0162,1921-12-28,N/A
PN0163,1922-05-24,N/A
PN0164,1925-09-24,N/A
PN0165,1925-10-26,N/A
PN0166,1926-04-24,N/A
PN0167,1926-07-10,N/A
PN0168,1927-12-27,N/A
PN0169,1928-12-27,N/A
PN0170,1902-12-19,N/A
PN0171,1902-12-25,N/A
PN0172,1931-02-03,N/A
PN0173,1932-06-04,N/A
PN0175,1915-02-20,N/A
PN0182,1901-12-14,N/A
PN0183,1901-12-09,N/A
PN0184,1901-12,N/A
PN0185,1901-12-20,Berlin
PN0186,1902-02-07,Berlin
PN0187,1902-03-18,Berlin
PN0188,1901-12,N/A
PN0189,1905-12-02,Bad Elgersburg
PN0190,1901-11,N/A
PN0191,1902-07-18,Åsgårdstrand
PN0192,1912-02,N/A
PN0193,1895-07-15,N/A
PN0194,1910-03-18,N/A
PN0195,1888-08-06,N/A
PN0202,1922-12,N/A
PN0203,1896-01,N/A
PN0205,1911-10,N/A
PN0206,1911-09-23,N/A
PN0207,1913-12-27,N/A
PN0209,1896-06,N/A
PN0210,1896-03-31,N/A
PN0211,1890-11-21,N/A
PN0223,N/A,Oslo
PN0224,N/A,Oslo
PN0228,N/A,Oslo
PN0229,N/A,Oslo
PN0232,N/A,Oslo
PN0233,N/A,Oslo
PN0235,N/A,Oslo
PN0238,N/A,Oslo
PN0239,N/A,Oslo
PN0240,N/A,Oslo
PN0243,N/A,Oslo
PN0244,N/A,Oslo
PN0245,N/A,Oslo
PN0246,N/A,Oslo
PN0247,N/A,Oslo
PN0248,1901-04-24,N/A
PN0249,1901-04-26,N/A
PN0250,1911-08-01,Oslo
PN0251,1914-03,N/A
PN0252,1909-11,N/A
PN0254,1909-12,N/A
PN0256,N/A,Oslo
PN0257,1929-11-15,N/A
PN0258,1915-07-14,N/A
PN0259,N/A,Oslo
PN0261,1905-02,N/A
PN0262,1902-04,N/A
PN0263,1892-09-13,N/A
PN0264,1892-11-11,Berlin
PN0265,1892-11-16,N/A
PN0266,1896-06-29,Paris
PN0267,1896-07-25,Paris
PN0268,1896-08-07,N/A
PN0269,1906-03-19,Bad Kösen
PN0270,1908-03-24,N/A
PN0271,1913-01,N/A
PN0275,1898-07,N/A
PN0276,1895-03-28,N/A
PN0278,1904-07-18,N/A
PN0281,1904-10-20,N/A
PN0282,1905-01,N/A
PN0283,1927-06-02,N/A
PN0284,1892-06,N/A
PN0285,1892-07-20,N/A
PN0286,1902-08-13,N/A
PN0287,1902-09,N/A
PN0288,1908-12-16,N/A
PN0289,1904-09-28,Åsgårdstrand
PN0291,1927-10,N/A
PN0294,1929-08-01,N/A
PN0295,1913-12-28,N/A
PN0297,1895-05-14,N/A
PN0298,1927-12-22,Oslo
PN0299,1911-01-10,N/A
PN0302,1932-06-03,N/A
PN0303,1884-12-14,Oslo
PN0304,1909-02,N/A
PN0305,1926-08-18,Oslo
PN0306,1913-01-02,N/A
PN0308,1902-10,N/A
PN0309,N/A,Oslo
PN0310,N/A,Oslo
PN0313,1919-03-28,N/A
PN0314,1910-09-12,N/A
PN0315,1918-06,N/A
PN0316,1922-12,N/A
PN0317,1901-09-22,N/A
PN0318,1931-05-15,Oslo
PN0320,N/A,Oslo
PN0323,N/A,Oslo
PN0325,N/A,Oslo
PN0326,N/A,Oslo
PN0328,1908-11,N/A
PN0329,1921-01-02,N/A
PN0330,1926-05-10,N/A
PN0331,1926-12-31,N/A
PN0332,1930-12-23,Oslo
PN0333,1931-12-23,N/A
PN0334,1902-12-30,N/A
PN0335,1903-01-30,N/A
PN0336,1903-02-05,N/A
PN0337,1903-01-21,N/A
PN0338,1903-05-20,N/A
PN0339,1903-05-27,N/A
PN0340,1903-08,N/A
PN0341,1903-10,N/A
PN0342,1903-10-20,N/A
PN0343,1903-11,N/A
PN0344,1903-11,N/A
PN0345,1903-11-27,N/A
PN0346,1904-01-02,N/A
PN0347,1904-02-02,N/A
PN0348,1904-02,N/A
PN0349,1904-03,N/A
PN0350,1904-03-09,N/A
PN0351,1904-03-21,N/A
PN0352,1904-03-18,N/A
PN0353,1904-04-29,N/A
PN0354,1904-05,N/A
PN0355,1904-04-27,N/A
PN0356,1904-05,N/A
PN0357,1904-07-06,N/A
PN0358,1904-07-02,N/A
PN0359,1904-07-15,N/A
PN0360,1904-12-30,N/A
PN0361,1905-01-07,N/A
PN0362,1905-01-08,N/A
PN0363,1905-01-15,N/A
PN0364,1905-01,N/A
PN0365,1905-01-30,N/A
PN0366,1905-02-14,N/A
PN0367,1905-03,N/A
PN0368,1905-04,N/A
PN0369,1905-05,N/A
PN0370,1905-06,N/A
PN0371,1905-07,N/A
PN0372,1905-08-26,N/A
PN0373,1905-11-09,N/A
PN0374,1905-11-29,N/A
PN0375,1905-12-17,N/A
PN0376,1905-12-19,N/A
PN0377,1905-12-31,N/A
PN0378,1905-12-31,N/A
PN0379,1906-01-06,N/A
PN0380,1906-01-07,N/A
PN0381,1906-01,N/A
PN0382,1906-01,N/A
PN0383,1906-01,N/A
PN0384,1906-02,N/A
PN0385,1906-02,N/A
PN0386,1906-02-19,N/A
PN0387,1906-02-24,N/A
PN0388,1906-02,N/A
PN0389,1906-02-27,N/A
PN0390,1906-03-06,N/A
PN0391,1906-03-10,N/A
PN0392,1906-03-15,N/A
PN0393,1906-03-16,N/A
PN0394,1906-03,N/A
PN0395,1906-03-23,N/A
PN0396,1906-03,N/A
PN0397,1906-04,N/A
PN0398,1906-04-16,N/A
PN0399,1906-05-01,N/A
PN0400,1906-05,N/A
PN0401,1906-05,N/A
PN0402,1906-05,N/A
PN0403,1906-06,N/A
PN0404,1906-06-12,N/A
PN0405,1906-06,N/A
PN0406,1906-07-07,N/A
PN0407,1906-07,N/A
PN0408,1906-07-26,N/A
PN0409,1906-08-02,N/A
PN0411,1906-09-04,N/A
PN0412,1906-09-09,N/A
PN0413,1906-09,N/A
PN0414,1906-09-27,N/A
PN0415,1906-10-14,N/A
PN0416,1906-10,N/A
PN0417,1906-10-31,N/A
PN0418,1906-11-05,N/A
PN0419,1906-11,N/A
PN0420,1905-12,N/A
PN0421,1906-11-26,N/A
PN0422,1906-12,N/A
PN0423,1906-12,N/A
PN0424,1906-12,N/A
PN0426,1906-12,N/A
PN0428,1907-04-21,N/A
PN0429,1907-01,N/A
PN0430,1907-01-15,N/A
PN0431,1907-01,N/A
PN0432,1907-01,N/A
PN0433,1907-03-01,N/A
PN0434,1907-03,N/A
PN0435,1907-03,N/A
PN0436,1907-03-03,N/A
PN0437,1907-04,N/A
PN0438,1907-03-25,N/A
PN0439,1907-04,N/A
PN0440,1907-04,N/A
PN0441,1907-04-14,N/A
PN0442,1907-05-21,N/A
PN0443,1907-06-13,N/A
PN0444,1907-06-18,N/A
PN0445,1907-08-02,N/A
PN0446,1907-08-05,N/A
PN0447,1907-08,N/A
PN0448,1907-09-08,N/A
PN0449,1907-09-24,N/A
PN0450,1907-09-25,N/A
PN0451,1907-10-07,N/A
PN0452,1907-10-29,N/A
PN0453,1907-11-08,N/A
PN0454,1907-11-25,N/A
PN0455,1907-12-22,N/A
PN0456,1907-12-27,N/A
PN0457,1907-12-28,N/A
PN0458,1908-02-23,N/A
PN0459,1908-03-24,N/A
PN0460,1908-04-06,N/A
PN0461,1908-04-12,N/A
PN0462,1908-04-18,N/A
PN0463,1908-04-18,N/A
PN0464,1908-04-20,N/A
PN0465,1908-04-23,N/A
PN0466,1908-04-27,N/A
PN0467,1908-04-28,N/A
PN0468,1908-04-29,N/A
PN0469,1908-05-07,N/A
PN0470,1908-05-09,N/A
PN0472,1908-05-13,N/A
PN0473,1908-05-14,N/A
PN0474,1908-05-18,N/A
PN0475,1908-05-18,N/A
PN0476,1908-05,N/A
PN0477,1908-06,N/A
PN0478,1908-06-26,N/A
PN0479,1908-08-07,N/A
PN0480,1908-08-15,N/A
PN0481,1908-08,N/A
PN0482,1908-08-26,N/A
PN0483,1908-09,N/A
PN0484,1908-09-15,N/A
PN0485,1908-09,N/A
PN0486,1908-10,N/A
PN0487,1908-10,N/A
PN0488,1908-10,N/A
PN0489,1908-10-28,N/A
PN0490,1908-11-01,N/A
PN0491,1908-11-04,N/A
PN0492,1908-11-07,N/A
PN0493,1908-11-11,N/A
PN0494,1908-11-27,N/A
PN0495,1908-11-18,N/A
PN0496,1908-11-23,N/A
PN0497,1908-12,N/A
PN0498,1908-11-28,N/A
PN0499,1908-12,N/A
PN0500,1908-12-03,N/A
PN0501,1908-12-03,N/A
PN0502,1907-10,N/A
PN0503,1908-12-03,N/A
PN0504,1908-12-13,N/A
PN0505,1908-12-14,N/A
PN0506,1908-12,N/A
PN0507,1908-12-16,N/A
PN0508,1908-12,N/A
PN0509,1909-01-06,N/A
PN0510,1909-01-07,N/A
PN0511,1909-01-08,N/A
PN0512,1909-01-10,N/A
PN0513,1909-01-12,N/A
PN0514,1909-01-15,N/A
PN0515,1909-01,N/A
PN0516,1909-01,N/A
PN0517,1909-01,N/A
PN0518,1909-02-01,N/A
PN0519,1909-02-01,N/A
PN0520,1909-02,N/A
PN0521,1909-04-02,N/A
PN0522,1909-04-13,N/A
PN0523,1909-05-01,N/A
PN0524,1909-05-04,N/A
PN0525,1909-05-11,N/A
PN0526,1909-05,N/A
PN0527,1909-05-30,N/A
PN0528,1909-06-10,N/A
PN0529,1909-06-18,N/A
PN0530,1909-06-25,N/A
PN0531,1909-08-18,N/A
PN0532,1909-09-24,N/A
PN0533,1909-11-08,N/A
PN0534,1909-11-11,N/A
PN0535,1909-11-13,N/A
PN0536,1909-11-23,N/A
PN0537,1909-12-03,N/A
PN0538,1909-12-26,N/A
PN0539,1910-01-13,N/A
PN0540,1910-03,N/A
PN0541,1910-04-12,N/A
PN0542,1910-05-05,N/A
PN0543,1910-05-11,N/A
PN0544,1910-05-28,N/A
PN0545,1910-11-06,N/A
PN0546,1910-11-13,N/A
PN0547,1910-12-12,N/A
PN0548,1910-12-16,N/A
PN0549,1911-01-10,N/A
PN0550,1911-01-17,N/A
PN0551,1911-01-26,N/A
PN0552,1911-02-02,N/A
PN0553,1911-02,N/A
PN0554,1911-04-08,N/A
PN0555,1911-07-21,N/A
PN0556,1911-09,N/A
PN0557,1911-08-29,N/A
PN0558,1911-11-01,N/A
PN0559,1911-11-16,N/A
PN0560,1911-12-01,N/A
PN0561,1911-12-19,N/A
PN0562,1911-12-23,N/A
PN0563,1912-01-03,N/A
PN0564,1912-02-16,N/A
PN0565,1912-02-17,N/A
PN0566,1912-01-18,N/A
PN0567,1912-01,N/A
PN0568,1912-01,N/A
PN0569,1912-01,N/A
PN0570,1912-02-20,N/A
PN0571,1912-03-25,N/A
PN0572,1912-05,N/A
PN0573,1912-05-23,N/A
PN0574,1912-07-17,N/A
PN0575,1912-07-29,N/A
PN0576,1912-08-07,N/A
PN0577,1912-09-07,N/A
PN0578,1912-09-18,N/A
PN0579,1912,N/A
PN0580,1912-10-17,N/A
PN0581,1912-11-02,N/A
PN0582,1912-12-01,N/A
PN0583,26-26%1912-12-27,N/A
PN0584,1913-02,N/A
PN0585,1913-03-10,N/A
PN0586,1913-07-08,N/A
PN0587,1913-08-27,N/A
PN0588,1913-07-31,N/A
PN0589,1913-11-03,N/A
PN0590,1913-11,N/A
PN0591,1913-12,N/A
PN0592,1913-12,N/A
PN0593,1914-02,N/A
PN0594,1914-03-13,N/A
PN0595,1914-06-27,N/A
PN0596,1914-09-14,N/A
PN0597,1914-09,N/A
PN0598,1914-12-16,N/A
PN0599,1914-12,N/A
PN0600,1915-01,N/A
PN0601,1915-01-01,N/A
PN0602,1915-02-01,N/A
PN0603,1915-06-28,N/A
PN0604,1915-02-08,N/A
PN0605,1915-01,N/A
PN0606,1915-06,N/A
PN0607,1915-06,N/A
PN0608,1915-07-28,N/A
PN0609,1915-08-02,N/A
PN0610,1916-06,N/A
PN0611,1917-01,N/A
PN0612,1918-12-20,N/A
PN0613,1919-11-19,N/A
PN0614,1920-05-07,N/A
PN0615,1920-05,N/A
PN0616,1920-07,N/A
PN0617,1920-08-02,N/A
PN0618,1920-08,N/A
PN0619,1920-08-17,N/A
PN0620,1922-02,N/A
PN0621,1922-05-14,N/A
PN0622,1922-06-02,N/A
PN0623,1922-07-09,N/A
PN0624,1922-11-09,N/A
PN0625,1922-08,N/A
PN0626,1922-11-16,N/A
PN0627,1922-12-11,N/A
PN0628,1922-12-11,N/A
PN0630,1923-02,N/A
PN0631,1923-05-25,N/A
PN0632,1923-10-30,N/A
PN0633,1923-11-08,N/A
PN0634,1923-11,N/A
PN0635,1923-12-20,N/A
PN0636,1924-12,N/A
PN0639,1925-08-11,N/A
